generated_text,System prompt,Product Title,Product Category,Review Rating,Review Title,Review
"System prompt : Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review | Product Title: GPS Module - for A118 + A118-C Dash Camera GPS Logging Functionality – Speed Stamp | Product Category: Cell Phones & Accessories | Review Rating: 5 | Review Title: She loved them | Review: Bought this as an accessory for a gift we gave, and she loved them!  It was a great addition to the gift.  She said she will be wearing them often!  The quality is good, and the price was right!  Thanks!  Will buy again if needed!  Very happy!  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)","Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review",GPS Module - for A118 + A118-C Dash Camera GPS Logging Functionality – Speed Stamp,Cell Phones & Accessories,5,She loved them,"Bought this as an accessory for a gift we gave, and she loved them!  It was a great addition to the gift.  She said she will be wearing them often!  The quality is good, and the price was right!  Thanks!  Will buy again if needed!  Very happy!  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)  :)"
"System prompt : Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review | Product Title: WeatherTech CupFone with Solid Billet Aluminum Knobs - Red | Product Category: Cell Phones & Accessories | Review Rating: 5 | Review Title: Very happy Christmas gift | Review: My neighbor bought this for her daughter. She’s very happy with it. The daughter says it’s very easy to use and holds her phone securely. The daughter said the phone is still easy to remove when she wants to use it. The daughter said it’s easy to clean and she likes the color. She said it’s well made and she thinks it will last a long time. The daughter said she’s very happy with the product. The neighbor said she’s happy with the product as well. She said the product is well made and she likes the color. She said it’s easy to clean and she thinks it will last a long time. The neighbor said she’s very happy with the product. She said","Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review",WeatherTech CupFone with Solid Billet Aluminum Knobs - Red,Cell Phones & Accessories,5,Very happy Christmas gift,My neighbor bought this for her daughter. She’s very happy with it. The daughter says it’s very easy to use and holds her phone securely. The daughter said the phone is still easy to remove when she wants to use it. The daughter said it’s easy to clean and she likes the color. She said it’s well made and she thinks it will last a long time. The daughter said she’s very happy with the product. The neighbor said she’s happy with the product as well. She said the product is well made and she likes the color. She said it’s easy to clean and she thinks it will last a long time. The neighbor said she’s very happy with the product. She said
"System prompt : Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review | Product Title: Compatible with Xiaomi Mi 9T Case Redmi K20 K20 pro Case Hybrid Shockproof Car Magnetic Rotating Ring Kickstand Cover Metal Plate Protection for Xiaomi Mi 9T pro (Blue) | Product Category: Cell Phones & Accessories | Review Rating: 5 | Review Title: fits nicely | Review: works well, fits well, lays decently flat, and the ring is a nice bonus.  Would buy again.  I haven't had it long enough to comment on durability.  I would say that it is pretty average for this type of case.  I would recommend.  It is a bit thicker than other cases, but it is still a slim case.  I like it.  It is a little bit of a tight fit, but not so tight that it is hard to get the phone out of the case.  The ring is a little bit stiff, but not so stiff that you can't use it.  I like it.  I would recommend it","Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review",Compatible with Xiaomi Mi 9T Case Redmi K20 K20 pro Case Hybrid Shockproof Car Magnetic Rotating Ring Kickstand Cover Metal Plate Protection for Xiaomi Mi 9T pro (Blue),Cell Phones & Accessories,5,fits nicely,"works well, fits well, lays decently flat, and the ring is a nice bonus.  Would buy again.  I haven't had it long enough to comment on durability.  I would say that it is pretty average for this type of case.  I would recommend.  It is a bit thicker than other cases, but it is still a slim case.  I like it.  It is a little bit of a tight fit, but not so tight that it is hard to get the phone out of the case.  The ring is a little bit stiff, but not so stiff that you can't use it.  I like it.  I would recommend it"
"System prompt : Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review | Product Title: [Updated Version] Rapid 2.4 Amp Home Travel Wall Charger Adapter 6ft USB Cable LED Light for Samsung Galaxy S7, S6, Edge, Edge+, S5, S4, S3, Galaxy Note 6 5 4 3 2 - LG G2 G3 G4 V10 - Droid Turbo 2 | Product Category: All Electronics | Review Rating: 4 | Review Title: Only lasted ~6 months of heavy use. | Review: I used this daily for 6 months and it finally stopped working.  I think it's a good product for the money, but I'm not sure if I will buy another one.  I'm going to try a different brand this time.  It's a good product for the money, but I'm not sure if I will buy another one.  I'm going to try a different brand this time.  It's a good product for the money, but I'm not sure if I will buy another one.  I'm going to try a different brand this time.  It's a good product for the money","Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review","[Updated Version] Rapid 2.4 Amp Home Travel Wall Charger Adapter 6ft USB Cable LED Light for Samsung Galaxy S7, S6, Edge, Edge+, S5, S4, S3, Galaxy Note 6 5 4 3 2 - LG G2 G3 G4 V10 - Droid Turbo 2",All Electronics,4,Only lasted ~6 months of heavy use.,"I used this daily for 6 months and it finally stopped working.  I think it's a good product for the money, but I'm not sure if I will buy another one.  I'm going to try a different brand this time.  It's a good product for the money, but I'm not sure if I will buy another one.  I'm going to try a different brand this time.  It's a good product for the money, but I'm not sure if I will buy another one.  I'm going to try a different brand this time.  It's a good product for the money"
"System prompt : Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review | Product Title: (2-pack) Screen Protector for iPhone 8, 7, 6S, 6, Akwox [0.33mm High Definition Clear] Tempered Glass Screen Protector for iPhone 6S / 6 /iPhone 8 / 7 | Product Category: Cell Phones & Accessories | Review Rating: 1 | Review Title: You get what you pay for- or I did at least. | Review: Instantly chipped all the corners, scratches fairly easily. Not worth it. It’s a cheap product. I’m not sure if it’s because I have a case on my phone, but it’s not worth the price. I’ve had other screen protectors and they last for a while. Not this one. I guess you get what you pay for. I’ll go back to my old brand. I’m not sure if it’s because I have a case on my phone, but it’s not worth the price. I’ve had other screen protectors and they last for a while. Not this one. I guess you get what you pay for. I’ll go back to my old","Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review","(2-pack) Screen Protector for iPhone 8, 7, 6S, 6, Akwox [0.33mm High Definition Clear] Tempered Glass Screen Protector for iPhone 6S / 6 /iPhone 8 / 7",Cell Phones & Accessories,1,You get what you pay for- or I did at least.,"Instantly chipped all the corners, scratches fairly easily. Not worth it. It’s a cheap product. I’m not sure if it’s because I have a case on my phone, but it’s not worth the price. I’ve had other screen protectors and they last for a while. Not this one. I guess you get what you pay for. I’ll go back to my old brand. I’m not sure if it’s because I have a case on my phone, but it’s not worth the price. I’ve had other screen protectors and they last for a while. Not this one. I guess you get what you pay for. I’ll go back to my old"
"System prompt : Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review | Product Title: SAMSUNG S10+ Film Screen Protector | Product Category: All Electronics | Review Rating: 1 | Review Title: Impossible to line up | Review: It came in a 2 pack first one didn't line up. The second one didn't even stick. I would not recommend. I have used other screen protectors and they have been great. This one was a waste of money. I would not recommend. I am not a clumsy person. I am not rough with my phone. This screen protector was just not good. I had to return it. I would not recommend. I am not a clumsy person. I am not rough with my phone. This screen protector was just not good. I had to return it. I would not recommend. I am not a clumsy person. I am not rough with my phone. This screen protector was just not good. I had to return it.","Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review",SAMSUNG S10+ Film Screen Protector,All Electronics,1,Impossible to line up,It came in a 2 pack first one didn't line up. The second one didn't even stick. I would not recommend. I have used other screen protectors and they have been great. This one was a waste of money. I would not recommend. I am not a clumsy person. I am not rough with my phone. This screen protector was just not good. I had to return it. I would not recommend. I am not a clumsy person. I am not rough with my phone. This screen protector was just not good. I had to return it. I would not recommend. I am not a clumsy person. I am not rough with my phone. This screen protector was just not good. I had to return it.
"System prompt : Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review | Product Title: TOPGO Cup Holder Phone Holder, [Upgraded Adjustable Gooseneck & Firmly Stable] Cup Holder Phone Mount for Car, Cell Phone Automobile Cradles for iPhone 14, Samsung and More Smartphone(Blue) | Product Category: Cell Phones & Accessories | Review Rating: 5 | Review Title: Cell phone holder | Review: Easy to install<br />With the spiral shaft you are able to adjust to where you want.  It is sturdy.  I would recommend it.  It also has a clip to hold your phone in place.  I like it.  I would recommend it.  It is easy to install.  It is easy to use.  I would recommend it.  I like it.  It is easy to install.  It is easy to use.  I would recommend it.  It is easy to install.  It is easy to use.  I would recommend it.  It is easy to install.  It is easy to use.  I would recommend it.  It is easy to install. ","Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review","TOPGO Cup Holder Phone Holder, [Upgraded Adjustable Gooseneck & Firmly Stable] Cup Holder Phone Mount for Car, Cell Phone Automobile Cradles for iPhone 14, Samsung and More Smartphone(Blue)",Cell Phones & Accessories,5,Cell phone holder,Easy to install<br />With the spiral shaft you are able to adjust to where you want.  It is sturdy.  I would recommend it.  It also has a clip to hold your phone in place.  I like it.  I would recommend it.  It is easy to install.  It is easy to use.  I would recommend it.  I like it.  It is easy to install.  It is easy to use.  I would recommend it.  It is easy to install.  It is easy to use.  I would recommend it.  It is easy to install.  It is easy to use.  I would recommend it.  It is easy to install. 
"System prompt : Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review | Product Title: Anker PowerCore 13000 Portable Charger - Compact 13000mAh 2-Port Ultra Portable Phone Charger Power Bank with PowerIQ and VoltageBoost Technology for iPhone, iPad, Samsung Galaxy (Black) | Product Category: Cell Phones & Accessories | Review Rating: 5 | Review Title: Well worth the money | Review: This is so COOL!  I can’t believe I have not bought this sooner.  It makes your life so much easier when traveling.  It can charge my phone at least 5 times before I need to charge it.  It is so compact and easy to carry.  It is a great product and I highly recommend it.  I bought one for me and one for my son.  I will be buying more as gifts.  This is a great product.  I can’t say enough about it.  I love it.  It is well worth the money.  I highly recommend it.  I would love to have more colors to choose from.  I am so glad I bought it.  It is well worth the money.  I","Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review","Anker PowerCore 13000 Portable Charger - Compact 13000mAh 2-Port Ultra Portable Phone Charger Power Bank with PowerIQ and VoltageBoost Technology for iPhone, iPad, Samsung Galaxy (Black)",Cell Phones & Accessories,5,Well worth the money,This is so COOL!  I can’t believe I have not bought this sooner.  It makes your life so much easier when traveling.  It can charge my phone at least 5 times before I need to charge it.  It is so compact and easy to carry.  It is a great product and I highly recommend it.  I bought one for me and one for my son.  I will be buying more as gifts.  This is a great product.  I can’t say enough about it.  I love it.  It is well worth the money.  I highly recommend it.  I would love to have more colors to choose from.  I am so glad I bought it.  It is well worth the money.  I
"System prompt : Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review | Product Title: amFilm Glass Screen Protector for Galaxy S6, Tempered Glass, with complimentary PET Back Film | Product Category: Cell Phones & Accessories | Review Rating: 5 | Review Title: Very cool product! Simple to use and works perfectly | Review: Very cool product! Simple to use and works perfectly! The application video made all the difference in ease of installation. I have a Samsung Galaxy S6 and the screen protector fits perfectly. I can't wait to try the back film! Great product! Great price! I'm very satisfied! Thanks!  Update: I've had this product for a couple of weeks now. I have dropped my phone twice and the screen protector has protected my phone both times. I am very pleased with this product. I will definitely recommend it to my friends. I will also definitely purchase again. I'm very satisfied with this product. Thanks!  Update 2: I have had this product for a few months now. I am still very satisfied with this product.","Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review","amFilm Glass Screen Protector for Galaxy S6, Tempered Glass, with complimentary PET Back Film",Cell Phones & Accessories,5,Very cool product! Simple to use and works perfectly,Very cool product! Simple to use and works perfectly! The application video made all the difference in ease of installation. I have a Samsung Galaxy S6 and the screen protector fits perfectly. I can't wait to try the back film! Great product! Great price! I'm very satisfied! Thanks!  Update: I've had this product for a couple of weeks now. I have dropped my phone twice and the screen protector has protected my phone both times. I am very pleased with this product. I will definitely recommend it to my friends. I will also definitely purchase again. I'm very satisfied with this product. Thanks!  Update 2: I have had this product for a few months now. I am still very satisfied with this product.
"System prompt : Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review | Product Title: Mustpoint for Apple Watch Series 1 38mm Force Touch Sensor Flex Cable | Product Category: Cell Phones & Accessories | Review Rating: 1 | Review Title: Dud item | Review: This came out to be a dud.. Ordered one more from Ifixit and that worked perfectly. Now I can't even return the dud item since I already used it... Trashed. Not worth the money. I'm sure this is not a genuine item. Save your money. This is not worth it. I'm returning it. 0 stars. I'm very disappointed. I've purchased many ifixit products and they have always been great. This is not. Not a genuine product. Don't buy. It's not worth it. It's a dud. I'm very disappointed. I'm returning it. 0 stars. I'm very disappointed. I'm returning it. 0 stars. I'm very disappointed. I'm returning it. 0 stars. I'm very disappointed. I'm","Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review",Mustpoint for Apple Watch Series 1 38mm Force Touch Sensor Flex Cable,Cell Phones & Accessories,1,Dud item,This came out to be a dud.. Ordered one more from Ifixit and that worked perfectly. Now I can't even return the dud item since I already used it... Trashed. Not worth the money. I'm sure this is not a genuine item. Save your money. This is not worth it. I'm returning it. 0 stars. I'm very disappointed. I've purchased many ifixit products and they have always been great. This is not. Not a genuine product. Don't buy. It's not worth it. It's a dud. I'm very disappointed. I'm returning it. 0 stars. I'm very disappointed. I'm returning it. 0 stars. I'm very disappointed. I'm returning it. 0 stars. I'm very disappointed. I'm
